Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Risk
25,male,2,own,little,little,1200,12,car,good
35,female,1,rent,moderate,moderate,2500,24,education,bad
45,male,3,own,rich,rich,5000,36,car,good
28,female,2,rent,little,little,1800,18,furniture,bad
52,male,3,own,rich,rich,7000,48,business,good
30,male,1,own,moderate,moderate,3200,24,car,good
41,female,2,rent,little,little,2100,12,furniture,good
23,male,0,rent,little,little,1500,18,education,bad
60,female,3,own,rich,rich,8000,60,business,good
38,male,2,own,moderate,moderate,4500,36,car,good
27,female,1,rent,little,little,1600,12,furniture,bad
48,male,3,own,rich,rich,6000,48,business,good
33,female,2,rent,moderate,moderate,2800,24,education,good
55,male,2,own,rich,rich,7500,36,car,good
29,female,1,rent,little,little,1900,18,furniture,bad
43,male,3,own,moderate,moderate,5200,36,business,good
36,female,2,rent,little,little,3000,24,car,bad
50,male,3,own,rich,rich,6500,48,education,good
24,female,1,rent,moderate,moderate,1400,12,furniture,bad
46,male,2,own,rich,rich,4800,36,car,good
